City,State full
B M G,Indiana
Babb,Montana
Babbitt,Minnesota
Babcock,Wisconsin
Babson Park,Massachusetts
Babson Park,Florida
Babylon,New York
Backus,Minnesota
Bacliff,Texas
Baconton,Georgia
Bacova,Virginia
Bad Axe,Michigan
Baden,Pennsylvania
Badger,Iowa
Badger,Minnesota
Badger,South Dakota
Badger,California
Badin,North Carolina
Bagdad,Florida
Bagdad,Kentucky
Bagdad,Arizona
Baggs,Wyoming
Bagley,Iowa
Bagley,Wisconsin
Bagley,Minnesota
Bagwell,Texas
Bahama,North Carolina
Bailey,North Carolina
Bailey,Mississippi
Bailey,Michigan
Bailey,Texas
Bailey,Colorado
Bailey Island,Maine
Baileys Harbor,Wisconsin
Baileyton,Alabama
Baileyville,Maine
Baileyville,Illinois
Baileyville,Kansas
Bainbridge,New York
Bainbridge,Pennsylvania
Bainbridge,Georgia
Bainbridge,Ohio
Bainbridge,Indiana
Bainbridge Island,Washington
Bainville,Montana
Baird,Texas
Bairdford,Pennsylvania
Bairoil,Wyoming
Baisden,West Virginia
Bajadero,Puerto Rico
Baker,West Virginia
Baker,Florida
Baker,Montana
Baker,Louisiana
Baker,Nevada
Baker,California
Baker City,Oregon
Bakers Mills,New York
Bakersfield,Vermont
Bakersfield,Missouri
Bakersfield,California
Bakerstown,Pennsylvania
Bakersville,North Carolina
Bakersville,Ohio
Bakerton,West Virginia
Bakewell,Tennessee
Bala Cynwyd,Pennsylvania
Balaton,Minnesota
Balch Springs,Texas
Bald Knob,Arkansas
Baldwin,New York
Baldwin,Maryland
Baldwin,Georgia
Baldwin,Michigan
Baldwin,Iowa
Baldwin,Wisconsin
Baldwin,North Dakota
Baldwin,Illinois
Baldwin,Louisiana
Baldwin City,Kansas
Baldwin Park,California
Baldwin Place,New York
Baldwinsville,New York
Baldwinville,Massachusetts
Baldwyn,Mississippi
Balfour,North Dakota
Balko,Oklahoma
Ball,Louisiana
Ball Ground,Georgia
Ballantine,Montana
Ballard,West Virginia
Ballentine,South Carolina
Ballico,California
Ballinger,Texas
Ballouville,Connecticut
Ballston Lake,New York
Ballston Spa,New York
Ballwin,Missouri
Bally,Pennsylvania
Balm,Florida
Balmorhea,Texas
Balsam,North Carolina
Balsam Grove,North Carolina
Balsam Lake,Wisconsin
Balta,North Dakota
Baltic,Connecticut
Baltic,Ohio
Baltic,South Dakota
Baltimore,Maryland
Baltimore,Ohio
Bamberg,South Carolina
Banco,Virginia
Bancroft,West Virginia
Bancroft,Michigan
Bancroft,Iowa
Bancroft,Wisconsin
Bancroft,Nebraska
Bancroft,Idaho
Bandana,Kentucky
Bandera,Texas
Bandon,Oregon
Bandy,Virginia
Bangall,New York
Bangor,Maine
Bangor,Pennsylvania
Bangor,Michigan
Bangor,Wisconsin
Bangor,California
Bangs,Texas
Banks,Alabama
Banks,Arkansas
Banks,Idaho
Banks,Oregon
Bankston,Alabama
Banner,Mississippi
Banner,Kentucky
Banner,Wyoming
Banner Elk,North Carolina
Banning,California
Bannister,Michigan
Bannock,Ohio
Banquete,Texas
Bantam,Connecticut
Bantry,North Dakota
Bapchule,Arizona
Baptistown,New Jersey
Bar Harbor,Maine
Bar Mills,Maine
Baraboo,Wisconsin
Baraga,Michigan
Barataria,Louisiana
Barbeau,Michigan
Barberton,Ohio
Barberville,Florida
Barboursville,Virginia
Barboursville,West Virginia
Barbourville,Kentucky
Barceloneta,Puerto Rico
Barclay,Maryland
Barco,North Carolina
Bard,New Mexico
Bard,California
Bardolph,Illinois
Bardstown,Kentucky
Bardwell,Kentucky
Bardwell,Texas
Bargersville,Indiana
Barhamsville,Virginia
Baring,Missouri
Baring,Washington
Barium Springs,North Carolina
Bark River,Michigan
Barker,New York
Barker,Texas
Barkhamsted,Connecticut
Barksdale,Texas
Barksdale AFB,Louisiana
Barling,Arkansas
Barlow,Kentucky
Barlow,Ohio
Barnard,Vermont
Barnard,South Dakota
Barnard,Missouri
Barnard,Kansas
Barnardsville,North Carolina
Barnegat,New Jersey
Barnegat Light,New Jersey
Barnes,Kansas
Barnes City,Iowa
Barneston,Nebraska
Barnesville,Pennsylvania
Barnesville,Maryland
Barnesville,North Carolina
Barnesville,Georgia
Barnesville,Ohio
Barnesville,Minnesota
Barnet,Vermont
Barnett,Missouri
Barneveld,New York
Barneveld,Wisconsin
Barney,Georgia
Barney,North Dakota
Barnhart,Missouri
Barnhart,Texas
Barnhill,Illinois
Barnsdall,Oklahoma
Barnstable,Massachusetts
Barnstead,New Hampshire
Barnum,Iowa
Barnum,Minnesota
Barnwell,South Carolina
Baroda,Michigan
Barrackville,West Virginia
Barranquitas,Puerto Rico
Barre,Massachusetts
Barre,Vermont
Barren Springs,Virginia
Barrett,Minnesota
Barrigada,Guam
Barrington,Rhode Island
Barrington,New Hampshire
Barrington,New Jersey
Barrington,Illinois
Barron,Wisconsin
Barronett,Wisconsin
Barrow,Alaska
Barry,Minnesota
Barry,Illinois
Barry,Texas
Barryton,Michigan
Barrytown,New York
Barryville,New York
Barstow,Maryland
Barstow,Illinois
Barstow,Texas
Barstow,California
Bart,Pennsylvania
Bartelso,Illinois
Bartlesville,Oklahoma
Bartlett,New Hampshire
Bartlett,Ohio
Bartlett,Illinois
Bartlett,Kansas
Bartlett,Nebraska
Bartlett,Texas
Bartley,West Virginia
Bartley,Nebraska
Barto,Pennsylvania
Barton,Vermont
Barton,New York
Barton,Maryland
Barton,Ohio
Barton,Arkansas
Barton City,Michigan
Bartonsville,Pennsylvania
Bartow,West Virginia
Bartow,Georgia
Bartow,Florida
Barwick,Georgia
Basalt,Colorado
Basalt,Idaho
Basco,Illinois
Bascom,Florida
Bascom,Ohio
Basehor,Kansas
Basile,Louisiana
Basin,Montana
Basin,Wyoming
Baskerville,Virginia
Baskett,Kentucky
Baskin,Louisiana
Basking Ridge,New Jersey
Basom,New York
Bass Harbor,Maine
Bass Lake,California
Bassett,Virginia
Bassett,Wisconsin
Bassett,Nebraska
Bassett,Arkansas
Bassfield,Mississippi
Bastian,Virginia
Bastrop,Louisiana
Bastrop,Texas
Basye,Virginia
Bat Cave,North Carolina
Batavia,New York
Batavia,Ohio
Batavia,Iowa
Batavia,Illinois
Batchelor,Louisiana
Batchtown,Illinois
Bates,Oregon
Bates City,Missouri
Batesburg,South Carolina
Batesland,South Dakota
Batesville,Virginia
Batesville,Mississippi
Batesville,Indiana
Batesville,Arkansas
Batesville,Texas
Bath,New Hampshire
Bath,Maine
Bath,New York
Bath,Pennsylvania
Bath,North Carolina
Bath,South Carolina
Bath,Ohio
Bath,Indiana
Bath,Michigan
Bath,South Dakota
Bath,Illinois
Bath Springs,Tennessee
Bathgate,North Dakota
Baton Rouge,Louisiana
Batson,Texas
Battery Park,Virginia
Battiest,Oklahoma
Battle Creek,Michigan
Battle Creek,Iowa
Battle Creek,Nebraska
Battle Ground,Indiana
Battle Ground,Washington
Battle Lake,Minnesota
Battle Mountain,Nevada
Battleboro,North Carolina
Battlement Mesa,Colorado
Battletown,Kentucky
Baudette,Minnesota
Bausman,Pennsylvania
Bauxite,Arkansas
Baxley,Georgia
Baxter,West Virginia
Baxter,Tennessee
Baxter,Kentucky
Baxter,Iowa
Baxter,Minnesota
Baxter Springs,Kansas
Bay,Arkansas
Bay Center,Washington
Bay City,Michigan
Bay City,Wisconsin
Bay City,Texas
Bay City,Oregon
Bay Minette,Alabama
Bay Pines,Florida
Bay Port,Michigan
Bay Saint Louis,Mississippi
Bay Shore,New York
Bay Shore,Michigan
Bay Springs,Mississippi
Bay Village,Ohio
Bayamon,Puerto Rico
Bayard,West Virginia
Bayard,Iowa
Bayard,Nebraska
Bayard,New Mexico
Bayboro,North Carolina
Bayfield,Wisconsin
Bayfield,Colorado
Baylis,Illinois
Bayonne,New Jersey
Bayou La Batre,Alabama
Bayport,New York
Bayport,Minnesota
Bays,Kentucky
Bayside,New York
Bayside,Texas
Bayside,California
Baytown,Texas
Bayview,Idaho
Bayville,New Jersey
Bayville,New York
Bazine,Kansas
BB,Oklahoma
Beach,North Dakota
Beach City,Ohio
Beach Haven,New Jersey
Beach Haven,Pennsylvania
Beach Lake,Pennsylvania
Beachwood,New Jersey
Beachwood,Ohio
Beacon,New York
Beacon,Iowa
Beacon Falls,Connecticut
Beale AFB,California
Bealeton,Virginia
Beallsville,Pennsylvania
Beallsville,Maryland
Beallsville,Ohio
Beals,Maine
Beaman,Iowa
Bean Station,Tennessee
Bear,Delaware
Bear Branch,Kentucky
Bear Creek,Pennsylvania
Bear Creek,North Carolina
Bear Creek,Alabama
Bear Creek,Wisconsin
Bear Lake,Pennsylvania
Bear Lake,Michigan
Bear Mountain,New York
Bear River City,Utah
Bearcreek,Montana
Bearden,Arkansas
Beardsley,Minnesota
Beardstown,Illinois
Bearsville,New York
Beasley,Texas
Beason,Illinois
Beatrice,Alabama
Beatrice,Nebraska
Beattie,Kansas
Beatty,Nevada
Beatty,Oregon
Beattyville,Kentucky
Beaufort,North Carolina
Beaufort,South Carolina
Beaufort,Missouri
Beaumont,Virginia
Beaumont,Mississippi
Beaumont,Kentucky
Beaumont,Kansas
Beaumont,Texas
Beaumont,California
Beauty,Kentucky
Beaver,Pennsylvania
Beaver,West Virginia
Beaver,Kentucky
Beaver,Ohio
Beaver,Iowa
Beaver,Arkansas
Beaver,Oklahoma
Beaver,Utah
Beaver,Oregon
Beaver,Washington
Beaver,Alaska
Beaver Bay,Minnesota
Beaver City,Nebraska
Beaver Creek,Minnesota
Beaver Crossing,Nebraska
Beaver Dam,Kentucky
Beaver Dam,Wisconsin
Beaver Dams,New York
Beaver Falls,New York
Beaver Falls,Pennsylvania
Beaver Island,Michigan
Beaver Meadows,Pennsylvania
Beaver Springs,Pennsylvania
Beavercreek,Oregon
Beaverdale,Pennsylvania
Beaverdam,Virginia
Beaverdam,Ohio
Beaverton,Alabama
Beaverton,Michigan
Beaverton,Oregon
Beavertown,Pennsylvania
Beaverville,Illinois
Beccaria,Pennsylvania
Bechtelsville,Pennsylvania
Beckemeyer,Illinois
Becker,Mississippi
Becker,Minnesota
Becket,Massachusetts
Beckley,West Virginia
Beckville,Texas
Beckwourth,California
Bedford,Massachusetts
Bedford,New Hampshire
Bedford,New York
Bedford,Pennsylvania
Bedford,Virginia
Bedford,Kentucky
Bedford,Ohio
Bedford,Indiana
Bedford,Michigan
Bedford,Iowa
Bedford,Texas
Bedford,Wyoming
Bedford Hills,New York
Bedford Park,Illinois
Bedias,Texas
Bedminster,New Jersey
Bedminster,Pennsylvania
Bedrock,Colorado
Bee,Virginia
Bee,Nebraska
Bee Branch,Arkansas
Bee Spring,Kentucky
Beebe,Arkansas
Beebe Plain,Vermont
Beech Bluff,Tennessee
Beech Bottom,West Virginia
Beech Creek,Pennsylvania
Beech Creek,Kentucky
Beech Grove,Kentucky
Beech Grove,Indiana
Beech Grove,Arkansas
Beech Island,South Carolina
Beecher,Illinois
Beecher City,Illinois
Beecher Falls,Vermont
Beechgrove,Tennessee
Beechmont,Kentucky
Beedeville,Arkansas
Beeler,Kansas
Beemer,Nebraska
Beersheba Springs,Tennessee
Beeson,West Virginia
Beetown,Wisconsin
Beeville,Texas
Beggs,Oklahoma
Beirne,Arkansas
Bejou,Minnesota
Bel Air,Maryland
Bel Alton,Maryland
Belcamp,Maryland
Belcher,Kentucky
Belcher,Louisiana
Belchertown,Massachusetts
Belcourt,North Dakota
Belden,Mississippi
Belden,Nebraska
Belden,California
Beldenville,Wisconsin
Belding,Michigan
Belen,Mississippi
Belen,New Mexico
Belews Creek,North Carolina
Belfair,Washington
Belfast,Maine
Belfast,New York
Belfast,Tennessee
Belfield,North Dakota
Belford,New Jersey
Belfry,Kentucky
Belfry,Montana
Belgium,Wisconsin
Belgrade,Maine
Belgrade,Minnesota
Belgrade,Montana
Belgrade,Missouri
Belgrade,Nebraska
Belgrade Lakes,Maine
Belhaven,North Carolina
Belington,West Virginia
Belk,Alabama
Belknap,Illinois
Bell,Florida
Bell,California
Bell Buckle,Tennessee
Bell City,Missouri
Bell City,Louisiana
Bell Gardens,California
Bella Vista,Arkansas
Bella Vista,California
Bellaire,Ohio
Bellaire,Michigan
Bellaire,Texas
Bellamy,Alabama
Bellarthur,North Carolina
Bellbrook,Ohio
Belle,West Virginia
Belle,Missouri
Belle Center,Ohio
Belle Chasse,Louisiana
Belle Fourche,South Dakota
Belle Glade,Florida
Belle Haven,Virginia
Belle Mead,New Jersey
Belle Mina,Alabama
Belle Plaine,Iowa
Belle Plaine,Minnesota
Belle Plaine,Kansas
Belle Rive,Illinois
Belle Rose,Louisiana
Belle Valley,Ohio
Belle Vernon,Pennsylvania
Belleair Beach,Florida
Bellefontaine,Mississippi
Bellefontaine,Ohio
Bellefonte,Pennsylvania
Bellemont,Arizona
Bellerose,New York
Bellerose Village,New York
Belleview,Florida
Belleview,Missouri
Belleville,New Jersey
Belleville,New York
Belleville,Pennsylvania
Belleville,West Virginia
Belleville,Michigan
Belleville,Wisconsin
Belleville,Illinois
Belleville,Kansas
Belleville,Arkansas
Bellevue,Kentucky
Bellevue,Ohio
Bellevue,Michigan
Bellevue,Iowa
Bellevue,Nebraska
Bellevue,Texas
Bellevue,Idaho
Bellevue,Washington
Bellflower,Illinois
Bellflower,Missouri
Bellflower,California
Bellingham,Massachusetts
Bellingham,Minnesota
Bellingham,Washington
Bellmawr,New Jersey
Bellmont,Illinois
Bellmore,New York
Bellmore,Indiana
Bellona,New York
Bellows Falls,Vermont
Bellport,New York
Bells,Tennessee
Bells,Texas
Bellvale,New York
Bellville,Georgia
Bellville,Ohio
Bellville,Texas
Bellvue,Colorado
Bellwood,Pennsylvania
Bellwood,Alabama
Bellwood,Illinois
Bellwood,Nebraska
Belmar,New Jersey
Belmond,Iowa
Belmont,Massachusetts
Belmont,New Hampshire
Belmont,Vermont
Belmont,New York
Belmont,West Virginia
Belmont,North Carolina
Belmont,Mississippi
Belmont,Ohio
Belmont,Michigan
Belmont,Wisconsin
Belmont,Louisiana
Belmont,Texas
Belmont,California
Belmont,Washington
Belmore,Ohio
Beloit,Ohio
Beloit,Wisconsin
Beloit,Kansas
Belpre,Ohio
Belpre,Kansas
Belsano,Pennsylvania
Belspring,Virginia
Belt,Montana
Belton,South Carolina
Belton,Kentucky
Belton,Missouri
Belton,Texas
Beltrami,Minnesota
Beltsville,Maryland
Belva,West Virginia
Belvedere Tiburon,California
Belvidere,New Jersey
Belvidere,North Carolina
Belvidere,Tennessee
Belvidere,South Dakota
Belvidere,Illinois
Belvidere,Nebraska
Belvidere Center,Vermont
Belview,Minnesota
Belvue,Kansas
Belzoni,Mississippi
Bement,Illinois
Bemidji,Minnesota
Bemus Point,New York
Ben Bolt,Texas
Ben Franklin,Texas
Ben Hur,Virginia
Ben Lomond,Arkansas
Ben Lomond,California
Ben Wheeler,Texas
Bena,Virginia
Bena,Minnesota
Benavides,Texas
Bend,Texas
Bend,Oregon
Bendena,Kansas
Bendersville,Pennsylvania
Benedict,Maryland
Benedict,Minnesota
Benedict,North Dakota
Benedict,Kansas
Benedict,Nebraska
Benedicta,Maine
Benet Lake,Wisconsin
Benezett,Pennsylvania
Benge,Washington
Benham,Kentucky
Benicia,California
Benjamin,Texas
Benkelman,Nebraska
Benld,Illinois
Bennet,Nebraska
Bennett,North Carolina
Bennett,Iowa
Bennett,Colorado
Bennettsville,South Carolina
Bennington,New Hampshire
Bennington,Vermont
Bennington,Indiana
Bennington,Kansas
Bennington,Nebraska
Bennington,Oklahoma
Benoit,Mississippi
Benoit,Wisconsin
Bensalem,Pennsylvania
Bensenville,Illinois
Benson,Vermont
Benson,Maryland
Benson,North Carolina
Benson,Minnesota
Benson,Illinois
Benson,Arizona
Bent,New Mexico
Bent Mountain,Virginia
Bentley,Michigan
Bentley,Kansas
Bentley,Louisiana
Bentleyville,Pennsylvania
Benton,Pennsylvania
Benton,Tennessee
Benton,Mississippi
Benton,Kentucky
Benton,Iowa
Benton,Wisconsin
Benton,Illinois
Benton,Missouri
Benton,Kansas
Benton,Louisiana
Benton,Arkansas
Benton,California
Benton City,Missouri
Benton City,Washington
Benton Harbor,Michigan
Benton Ridge,Ohio
Bentonia,Mississippi
Bentonville,Virginia
Bentonville,Ohio
Bentonville,Indiana
Bentonville,Arkansas
Benwood,West Virginia
Benzonia,Michigan
Berclair,Texas
Berea,West Virginia
Berea,Kentucky
Berea,Ohio
Beresford,South Dakota
Bergen,New York
Bergenfield,New Jersey
Berger,Missouri
Bergheim,Texas
Bergholz,Ohio
Bergland,Michigan
Bergman,Arkansas
Bergoo,West Virginia
Bergton,Virginia
Berino,New Mexico
Berkeley,Illinois
Berkeley,California
Berkeley Heights,New Jersey
Berkeley Springs,West Virginia
Berkey,Ohio
Berkley,Massachusetts
Berkley,Michigan
Berkshire,Massachusetts
Berkshire,New York
Berlin,Massachusetts
Berlin,New Hampshire
Berlin,Connecticut
Berlin,New Jersey
Berlin,New York
Berlin,Pennsylvania
Berlin,Maryland
Berlin,Georgia
Berlin,Ohio
Berlin,Wisconsin
Berlin,North Dakota
Berlin Center,Ohio
Berlin Heights,Ohio
Bern,Kansas
Bern,Idaho
Bernalillo,New Mexico
Bernard,Maine
Bernard,Iowa
