City,State full
LA,California
La Barge,Wyoming
La Belle,Pennsylvania
La Belle,Missouri
La Blanca,Texas
La Canada Flintridge,California
La Center,Kentucky
La Center,Washington
La Conner,Washington
La Coste,Texas
La Crescent,Minnesota
La Crescenta,California
La Crosse,Virginia
La Crosse,Florida
La Crosse,Indiana
La Crosse,Wisconsin
La Crosse,Kansas
La Farge,Wisconsin
La Fargeville,New York
La Fayette,New York
La Fayette,Georgia
La Fayette,Kentucky
La Fayette,Illinois
La Feria,Texas
La Follette,Tennessee
La Fontaine,Indiana
La France,South Carolina
La Grande,Oregon
La Grande,Washington
La Grange,North Carolina
La Grange,Tennessee
La Grange,Kentucky
La Grange,Illinois
La Grange,Missouri
La Grange,Arkansas
La Grange,Texas
La Grange,California
La Grange Park,Illinois
La Habra,California
La Harpe,Illinois
La Harpe,Kansas
La Honda,California
La Jara,Colorado
La Jara,New Mexico
La Jolla,California
La Jose,Pennsylvania
La Joya,Texas
La Joya,New Mexico
La Junta,Colorado
La Loma,New Mexico
La Luz,New Mexico
La Madera,New Mexico
La Marque,Texas
La Mesa,New Mexico
La Mesa,California
La Mirada,California
La Moille,Illinois
La Monte,Missouri
La Motte,Iowa
La Palma,California
La Pine,Oregon
La Place,Illinois
La Place,Louisiana
La Plata,Puerto Rico
La Plata,Maryland
La Plata,Missouri
La Plata,New Mexico
La Plume,Pennsylvania
La Pointe,Wisconsin
La Porte,Indiana
La Porte,Texas
La Porte City,Iowa
La Prairie,Illinois
La Pryor,Texas
La Puente,California
La Push,Washington
La Quinta,California
La Rose,Illinois
La Rue,Ohio
La Russell,Missouri
La Sal,Utah
La Salle,Michigan
La Salle,Minnesota
La Salle,Illinois
La Salle,Texas
La Salle,Colorado
La Valle,Wisconsin
La Vergne,Tennessee
La Verkin,Utah
La Verne,California
La Vernia,Texas
La Veta,Colorado
La Villa,Texas
La Vista,Nebraska
La Ward,Texas
Labadie,Missouri
Labadieville,Louisiana
Labelle,Florida
Labolt,South Dakota
Lac Du Flambeau,Wisconsin
Lacarne,Ohio
Lacassine,Louisiana
Lacey,Washington
Lacey Spring,Virginia
Laceys Spring,Alabama
Laceyville,Pennsylvania
Lachine,Michigan
Lackawaxen,Pennsylvania
Lackey,Virginia
Lackey,Kentucky
Lackland A F B,Texas
Laclede,Missouri
Laclede,Idaho
Lacombe,Louisiana
Lacon,Illinois
Lacona,New York
Lacona,Iowa
Laconia,New Hampshire
Laconia,Tennessee
Laconia,Indiana
Lacoochee,Florida
Lacota,Michigan
Lacrosse,Washington
Lacygne,Kansas
Ladd,Illinois
Laddonia,Missouri
Ladera Ranch,California
Ladiesburg,Maryland
Ladoga,Indiana
Ladonia,Texas
Ladora,Iowa
Ladson,South Carolina
Lady Lake,Florida
Ladysmith,Virginia
Ladysmith,Wisconsin
Lafayette,New Jersey
Lafayette,Alabama
Lafayette,Tennessee
Lafayette,Ohio
