City,State full
Ubly,Michigan
UCA,Arkansas
UCF,Florida
Ucon,Idaho
Udall,Missouri
Udall,Kansas
Udell,Iowa
Uehling,Nebraska
Uhrichsville,Ohio
Ukiah,California
Ukiah,Oregon
Uledi,Pennsylvania
Ulen,Minnesota
Ullin,Illinois
Ulm,Montana
Ulm,Arkansas
Ulman,Missouri
Ulmer,South Carolina
Ulster,Pennsylvania
Ulster Park,New York
Ulysses,Pennsylvania
Ulysses,Kentucky
Ulysses,Kansas
Ulysses,Nebraska
Umatilla,Florida
Umatilla,Oregon
Umbarger,Texas
Umpire,Arkansas
Umpqua,Oregon
UNA,South Carolina
Unadilla,New York
Unadilla,Georgia
Unadilla,Nebraska
Unalakleet,Alaska
Unalaska,Alaska
Uncasville,Connecticut
Uncle Sam,Louisiana
Underhill,Vermont
Underhill Center,Vermont
Underwood,Indiana
Underwood,Iowa
Underwood,Minnesota
Underwood,North Dakota
Underwood,Washington
Uneeda,West Virginia
Unicoi,Tennessee
Union,New Hampshire
Union,Maine
Union,New Jersey
Union,West Virginia
Union,South Carolina
Union,Mississippi
Union,Kentucky
Union,Michigan
Union,Iowa
Union,Illinois
Union,Missouri
Union,Nebraska
Union,Oregon
Union,Washington
Union Bridge,Maryland
Union Center,Wisconsin
Union Center,South Dakota
Union Church,Mississippi
Union City,New Jersey
Union City,Pennsylvania
Union City,Georgia
Union City,Tennessee
Union City,Ohio
Union City,Indiana
Union City,Michigan
Union City,Oklahoma
Union City,California
Union Dale,Pennsylvania
Union Furnace,Ohio
Union Grove,North Carolina
Union Grove,Alabama
Union Grove,Wisconsin
Union Hall,Virginia
Union Hill,New York
Union Hill,Illinois
Union Lake,Michigan
Union Mills,North Carolina
Union Mills,Indiana
Union Pier,Michigan
Union Point,Georgia
Union Springs,New York
Union Springs,Alabama
Union Star,Kentucky
Union Star,Missouri
Uniondale,New York
Uniondale,Indiana
Uniontown,Pennsylvania
Uniontown,Alabama
Uniontown,Kentucky
Uniontown,Ohio
Uniontown,Missouri
Uniontown,Kansas
Uniontown,Arkansas
Uniontown,Washington
Unionville,Connecticut
Unionville,New York
Unionville,Pennsylvania
Unionville,Maryland
Unionville,Virginia
Unionville,Tennessee
Unionville,Ohio
Unionville,Indiana
Unionville,Michigan
Unionville,Iowa
Unionville,Missouri
Unionville Center,Ohio
Uniopolis,Ohio
United,Pennsylvania
Unity,Maine
Unity,Wisconsin
Unity,Illinois
Unity,Oregon
Unity House,Pennsylvania
Unityville,Pennsylvania
Universal,Indiana
Universal City,Texas
Universal City,California
University,Mississippi
University Center,Michigan
University Park,Pennsylvania
University Park,Iowa
University Park,Illinois
University Place,Washington
UNM,New Mexico
Upatoi,Georgia
Upham,North Dakota
Upland,Indiana
Upland,Nebraska
Upland,California
Upper Black Eddy,Pennsylvania
Upper Darby,Pennsylvania
Upper Fairmount,Maryland
Upper Falls,Maryland
Upper Jay,New York
Upper Lake,California
Upper Marlboro,Maryland
Upper Sandusky,Ohio
Upper Tract,West Virginia
Upperco,Maryland
Upperglade,West Virginia
Upperstrasburg,Pennsylvania
Upperville,Virginia
Upsala,Minnesota
Upson,Wisconsin
Upton,Massachusetts
Upton,New York
Upton,Kentucky
Upton,Wyoming
Urania,Louisiana
Urbana,Ohio
Urbana,Indiana
Urbana,Iowa
Urbana,Illinois
Urbana,Missouri
Urbandale,Iowa
Urbanna,Virginia
Uriah,Alabama
Urich,Missouri
Ursa,Illinois
Ursina,Pennsylvania
Usaf Academy,Colorado
USC,South Carolina
Usk,Washington
USPS BMC,Iowa
UT,Texas
Ute,Iowa
Ute Park,New Mexico
Utica,New York
Utica,Pennsylvania
Utica,Mississippi
Utica,Kentucky
Utica,Ohio
Utica,Michigan
Utica,Minnesota
Utica,South Dakota
Utica,Illinois
Utica,Missouri
Utica,Kansas
Utica,Nebraska
Utopia,Texas
Utuado,Puerto Rico
Uvalda,Georgia
Uvalde,Texas
UVM,Vermont
Uwchland,Pennsylvania
Uxbridge,Massachusetts
